teamID,offense_name,offense_weight,offense_height,offense_age,offense_birthCity,offense_birthState,offense_birthCountry,offense_position,offense_jersey,offense_xp,offense_status,offense_headshot
5,Elijah Moore,178.0,70.0,23,Fort Lauderdale,FL,USA,Wide Receiver,elijah-moore,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4372414.png
5,David Njoku,246.0,76.0,26,Cedar Grove,NJ,USA,Tight End,david-njoku,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/3123076.png
5,Donovan Peoples-Jones,204.0,74.0,24,Detroit,MI,USA,Wide Receiver,donovan-peoples-jones,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4258195.png
5,Ethan Pocic,309.0,78.0,27,Lemont,IL,USA,Center,ethan-pocic,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/3042738.png
5,Anthony Schwartz,186.0,72.0,22,Pembroke Pines,FL,USA,Wide Receiver,anthony-schwartz,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4371986.png
5,Marquez Stevenson,180.0,70.0,25,Shreveport,LA,USA,Wide Receiver,marquez-stevenson,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4039307.png
5,Wyatt Teller,314.0,76.0,28,Bealeton,VA,USA,Guard,wyatt-teller,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3045474.png
5,Deshaun Watson,215.0,74.0,27,Gainesville,GA,USA,Quarterback,deshaun-watson,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/3122840.png
5,Isaiah Weston,214.0,76.0,25,Albertville,MN,USA,Wide Receiver,isaiah-weston,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4030926.png
5,Tyrone Wheatley Jr.,265.0,78.0,26,Buffalo,NY,USA,Offensive Tackle,tyrone-wheatley-jr,1,active,https://a.espncdn.com/i/headshots/nfl/players/full/3929922.png
5,Jedrick Wills Jr.,307.0,76.0,23,Lexington,KY,USA,Offensive Tackle,jedrick-wills-jr,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4241482.png
5,Michael Woods II,204.0,73.0,23,Magnolia,TX,USA,Wide Receiver,michael-woods-ii,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4360174.png
